Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
John Joyce ,Rep,3-Jan-19,RepJohnJoyce,RepJohnJoyce,RepJohnJoyce,RepJohnJoyce,
John Katko ,Rep,3-Jan-15,RepJohnKatko,RepJohnKatko,RepJohnKatko,RepJohnKatko,
John Lewis ,Rep,3-Jan-87,RepJohnLewis,RepJohnLewis,RepJohnLewis,RepJohnLewis,
John Moolenaar ,Rep,3-Jan-15,RepMoolenaar,RepMoolenaar,RepMoolenaar,RepMoolenaar,
John Ratcliffe ,Rep,3-Jan-15,RepRatcliffe,RepRatcliffe,RepRatcliffe,RepRatcliffe,
John Rose ,Rep,3-Jan-19,RepJohnRose,RepJohnRose,RepJohnRose,RepJohnRose,
John Rutherford ,Rep,3-Jan-17,RepRutherfordFL,RepRutherfordFL,RepRutherfordFL,RepRutherfordFL,
John Sarbanes ,Rep,3-Jan-07,RepSarbanes,RepSarbanes,RepSarbanes,RepSarbanes,
John Shimkus ,Rep,3-Jan-13,RepShimkus,RepShimkus,RepShimkus,RepShimkus,
John Yarmuth ,Rep,3-Jan-07,RepJohnYarmuth,RepJohnYarmuth,RepJohnYarmuth,RepJohnYarmuth,
José E. Serrano,Rep,21-Mar-90,RepJoseSerrano,RepJoseSerrano,RepJoseSerrano,RepJoseSerrano,
Joseph D. Morelle,Rep,13-Nov-18,RepJoeMorelle,RepJoeMorelle,RepJoeMorelle,RepJoeMorelle,
Joseph P. Kennedy,Rep,3-Jan-13,RepJoeKennedy,RepJoeKennedy,RepJoeKennedy,RepJoeKennedy,
Josh Gottheimer ,Rep,3-Jan-17,RepJoshG,RepJoshG,RepJoshG,RepJoshG,
Josh Harder ,Rep,3-Jan-19,RepJoshHarder,RepJoshHarder,RepJoshHarder,RepJoshHarder,
Joyce Beatty ,Rep,3-Jan-13,RepBeatty,RepBeatty,RepBeatty,RepBeatty,
Juan Vargas ,Rep,3-Jan-13,RepJuanVargas,RepJuanVargas,RepJuanVargas,RepJuanVargas,
Judy Chu ,Rep,14-Jul-09,RepJudyChu,RepJudyChu,RepJudyChu,RepJudyChu,
Julia Brownley ,Rep,3-Jan-13,RepBrownley,RepBrownley,JuliaBrownley26,JuliaBrownley26,RepBrownley(CSPAN) JuliaBrownley26(REST)
